Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
28.700801,77.259727,NASIK ROAD,NKRD,BSL,MAHARASHTRA,A
18.990894,73.1207371,PANVEL,PNVL,BB,MAHARASHTRA,A
19.7806599,74.4805113,SAINAGAR SHIRDI,SNSI,SUR,MAHARASHTRA,A
20.8006772,76.6904246,SHEGAON,SEG,BSL,MAHARASHTRA,A
20.7330515,78.5948266,WARDHA,WR,NGP,MAHARASHTRA,A
19.8598388,75.311368,AURANGABAD                                        ,AWB ,NED,MAHARASHTRA,A
19.8296893,75.8800305,JALNA                                             ,J   ,NED,MAHARASHTRA,A
20.1013228,74.5432157,NAGARSOL                                          ,NSL ,NED,MAHARASHTRA,A
19.1605101,77.3105445,NANDED                                            ,NED ,NED,MAHARASHTRA,A
19.2576585,76.7735879,PARBHANI JN.                                      ,PBN ,NED,MAHARASHTRA,A
21.4624491,80.2209773,GONDIA,G,NGP,MAHARASHTRA,A
25.905961,93.72825,DIMAPUR,DMV,LMG,NAGALAND,A
21.0912758,86.5157605,BHADRAK,BHC,KUR,ODISHA,A
19.296363,84.797022,BRAHMAPUR,BAM,KUR,ODISHA,A
20.4791512,85.8294259,CUTTACK,CTC,KUR,ODISHA,A
20.9433485,86.1327199,JAJPUR-KEONJHAR ROAD,JJKR,KUR,ODISHA,A
20.1533246,85.70864,KHURDA ROAD,KUR,KUR,ODISHA,A
19.1758132,83.4106497,RAYAGADA,RGDA,WAT,ODISHA,A
21.4832695,83.9617212,SAMBALPUR ,SBP,SBP,ODISHA,A
21.4869337,86.9246005,BALASORE,BLS,KGP,ODISHA,A
21.8627289,84.017899,JHARSUGUDA,JSG,CKP,ODISHA,A
22.2275861,84.8630703,ROURKELA,ROU,CKP,ODISHA,A
30.212796,74.9331147,BATHINDA JUNCTION,BTI,UMB,PUNJAB,A
﻿31.5203,75.2913,BEAS,BES,FZR,PUNJAB,A
